id,school,Females,AfricanAmerican,district,Males,Hispanic,Asian,ORGCODE,year,White,NativeAmerican
157,Hyde Park High School,48.8,64,Boston,51.2,18,2.3,00350550,2014,15.4,0.3
158,Jackson Mann,47.6,38.5,Boston,52.4,13.6,35.4,00350013,2014,12.5,0
159,James A Garfield Elem,48,37.3,Boston,52,17.2,18,00350152,2014,27.3,0.3
160,James Condon Elem,46.8,50.5,Boston,53.2,9.9,7,00350146,2014,31.6,0.9
161,James J Chittick,45.1,84.6,Boston,54.9,3.3,1.3,00350154,2014,9.6,1.3
162,James M Curley,51.3,53.3,Boston,48.7,19.8,1.5,00350384,2014,24.6,0.8
163,James Otis,50.1,5.9,Boston,49.9,57.6,3.8,00350156,2014,32.2,0.5
164,James P Timilty Middle,47.7,46.6,Boston,52.3,38.9,3.4,00350485,2014,10.8,0.2
165,James W Hennigan,49.4,35.1,Boston,50.6,44,6.8,00350153,2014,13,1.1
166,Jeremiah E Burke High,46.1,75.6,Boston,53.9,11.7,6.3,00350525,2014,6.1,0.4
167,John D Philbrick,46.8,37.4,Boston,53.2,16.3,2.1,00350172,2014,43.2,1.1
168,John F Kennedy,52.7,20.8,Boston,47.3,73.8,0.7,00350166,2014,4.3,0.3
169,John Marshall,52.4,62.3,Boston,47.6,30.7,3.2,00350178,2014,3.4,0.4
170,John P Holland,51.9,46.9,Boston,48.1,30.7,17.7,00350167,2014,4.7,0
171,John W McCormack,51.5,46.9,Boston,48.5,26.2,4.3,00350179,2014,22.3,0.3
172,John Winthrop,50.6,63.1,Boston,49.4,24.7,3.7,00350180,2014,8.5,0
173,Joseph J Hurley,49.2,30.9,Boston,50.8,61.8,0.9,00350182,2014,5.6,0.7
174,Joseph Lee,47.8,79.5,Boston,52.2,7.7,2.1,00350183,2014,10.4,0.3
175,Joseph P Manning,43.3,41.4,Boston,56.7,18.7,5.4,00350184,2014,34.5,0
176,Joseph P Tynan,47,58.8,Boston,53,3.5,2.4,00350181,2014,35,0.2
177,Josiah Quincy,47.9,22.4,Boston,52.1,4.6,59.3,00350286,2014,13.5,0.2
178,Joyce Kilmer,49,31.5,Boston,51,10.5,8.5,00350190,2014,49,0.5
179,Lewis Middle School,46.8,76.6,Boston,53.2,17.1,0.4,00350455,2014,5.2,0.7
180,Lucy Stone,44.2,72.6,Boston,55.8,11.6,3.7,00350211,2014,12.1,0
181,Madison Park High,44.6,60.9,Boston,55.4,27.8,3.5,00350537,2014,7.2,0.5
182,Manassah E Bradley,48.3,23.5,Boston,51.7,10.1,8.4,00350215,2014,56.4,1.7
183,MARGARET FULLER,0,0,Boston,0,0,0,00350217,2014,0,0
184,Martin Luther King Jr Mid,54.1,46.7,Boston,45.9,47.8,1.8,00350410,2014,3.5,0.2
185,Mary E Curley Middle,49.8,35.2,Boston,50.2,57,1,00350420,2014,6.9,0
186,Mary Lyon,47.9,52.1,Boston,52.1,12.7,9.9,00350004,2014,25.4,0
187,Mather,51.1,50.1,Boston,48.9,4.3,33.2,00350227,2014,11.6,0.8
188,Mattahunt,46.6,65.6,Boston,53.4,20,0.3,00350226,2014,14.1,0
189,Maurice J Tobin,55.7,32.8,Boston,44.3,61.3,1.5,00350229,2014,4.2,0.2
190,Michael J Perkins,46,41.3,Boston,54,6.6,10.4,00350231,2014,41,0.6
191,Mozart,43.8,51.4,Boston,56.2,19,0.5,00350237,2014,29,0
192,Nathan Hale,46.4,85.1,Boston,53.6,11,0,00350243,2014,3.9,0
193,O W Holmes,39.6,73.4,Boston,60.4,5.7,2.1,00350138,2014,18.8,0
194,O'Bryant Sch Math/Science,53.1,48.3,Boston,46.9,12.1,29.6,00350575,2014,9.9,0.2
195,Oliver Hazard Perry,50.2,42.7,Boston,49.8,7.9,7.5,00350255,2014,41.4,0.4
196,Patrick F Gavin Middle,50.2,46.3,Boston,49.8,9.3,11.5,00350435,2014,31.1,1.9
197,Patrick J Kennedy,46,19.3,Boston,54,22.7,5.8,00350264,2014,51.5,0.6
198,Patrick O'Hearn,44.9,59.3,Boston,55.1,5.1,4.6,00350266,2014,31,0
199,Paul A Dever,44.3,44.1,Boston,55.7,31.1,3.9,00350268,2014,20,0.8
200,Pauline Agassiz Shaw,42.5,94.7,Boston,57.5,0.6,0.3,00350270,2014,3.8,0.6
201,Phineas Bates,51.6,56.6,Boston,48.4,16.8,3.6,00350278,2014,23,0
202,PHYLLIS WHEATLEY MIDDLE,0,0,Boston,0,0,0,00350139,2014,0,0
203,Quincy E Dickerman,50,83.7,Boston,50,12.8,0.3,00350284,2014,1.4,1.7
204,Rafael Hernandez,52.1,28.2,Boston,47.9,56.6,0,00350691,2014,14.6,0.5
205,Ralph Waldo Emerson,52.5,88.8,Boston,47.5,8.4,0.6,00350288,2014,1.6,0.6
206,Richard J Murphy,46.6,61.7,Boston,53.4,3.7,5.4,00350240,2014,28.5,0.7
207,ROBERT GOULD SHAW MIDDLE,0,0,Boston,0,0,0,00350475,2014,0,0
208,Roger Clap,47.3,45.7,Boston,52.7,9.7,9.3,00350298,2014,33.7,1.6
209,Samuel Adams,43.5,30.6,Boston,56.5,12.3,4.5,00350302,2014,52.6,0
210,Samuel W Mason,44.2,66.9,Boston,55.8,16.2,2.5,00350304,2014,12.6,1.8
211,Sarah Greenwood,45.3,53.8,Boston,54.7,45.3,0,00350308,2014,0.9,0
212,Snowden Int'l High,59.4,57.5,Boston,40.6,17.6,8.4,00350690,2014,16.1,0.4
213,Solomon Lewenberg Middle,46.6,77,Boston,53.4,7.1,2.2,00350450,2014,13.1,0.5
214,SOUTH BOSTON HIGH,0,0,Boston,0,0,0,00350570,2014,0,0
215,The English High,51.3,48.1,Boston,48.7,38,2.4,00350535,2014,11.4,0.1
216,Thomas A Edison Jr High,43.5,24.1,Boston,56.5,40,24.5,00350425,2014,11.4,0
217,Thomas Gardner,51.6,27.7,Boston,48.4,39.4,12.7,00350326,2014,20.2,0
218,Thomas J Kenny,52.2,63.6,Boston,47.8,2.8,4.5,00350328,2014,28.4,0.7
219,Umana/Barnes Middle,46.9,20.7,Boston,53.1,36.3,12.5,00350405,2014,30.3,0.1
220,Warren-Prescott,46.9,39.1,Boston,53.1,13.3,7.9,00350346,2014,39.6,0.2
221,Washington Irving Middle,49.7,33.3,Boston,50.3,35.6,5.2,00350445,2014,25.4,0.4
222,West Roxbury Sch,47.2,65.5,Boston,52.8,16.2,1.3,00350573,2014,16.9,0.1
223,William E Russell,50.8,39.4,Boston,49.2,35.9,4.2,00350366,2014,20,0.4
224,William Ellery Channing,52.2,69.5,Boston,47.8,5.9,1.2,00350360,2014,22.9,0.5
225,William H Ohrenberger,48.9,34,Boston,51.1,41.4,6,00350258,2014,18.2,0.5
226,William H Taft Middle,46.2,38.6,Boston,53.8,19.1,24.8,00350480,2014,16.9,0.6
227,William McKinley,20.9,66.2,Boston,79.1,15.1,1.2,00350363,2014,17.3,0.2
228,William Monroe Trotter,50.9,79.7,Boston,49.1,7.9,1.7,00350370,2014,9.9,0.8
229,Winship Elementary,48.3,16.8,Boston,51.7,58.4,8.3,00350374,2014,16.5,0
230,Wm B Rogers Middle,43.8,67,Boston,56.2,9.3,1.5,00350470,2014,22.2,0
231,WM E ENDICOTT,0,0,Boston,0,0,0,00350362,2014,0,0
232,Woodrow Wilson Middle,45.6,80.5,Boston,54.4,5.4,3.6,00350490,2014,10,0.5
